review,sentiment
"its a stupid little movie that trys to be clever and sophisticated , yet trys a bit too hard . with the voices of woody allen , gene hackman , jennifer lopez , sylvester stallone , and sharon stone , this computer - animated yak - fest ( think toy story [ 1996 ] filled with used merchandising ) is one for the ant - eaters . the main story is the independence of a worker named z ( allen ) . he wants more to life than just digging away underground for the colony . when he finds out about `` insectopia , "" a mythical place where all insects can run free , z , along with his colony ' s princess ( stone ) , journey out into the world to find a meaning for life . about 15 minutes into the picture , i began to wonder what the point of the film was . halfway through , i still didn ' t have an answer . by the end credits , i just gave up and ran out . antz is a mindless mess of poor writing and even poorer voice - overs . allen is nonchalant , while i would have guessed , if i hadn ' t seen her in the mighty and basic instinct , stone can ' t act , even in a cartoon . this film is one for the bugs : unfunny and extremely dull . hey , a bug ' s life may have a good time doing antz in .",neg
"it ' s always a bad sign when the core audience of a film -- children -- are either walking out early or are half - asleep when the credits roll at the end of a film . that about sums up the dreadful ugliness of 102 dalmatians , a cold pea soup of cute animals , stupid home alone antics , a boring puppy love subplot between dumb humans , and glenn close reprising her best joan crawford impression . indeed , walt disney is rolling over in his grave again , cursing john hughes ' name for making the original live - action 101 dalmatians , one of the worst kiddie flicks of all time , and now its sequel . the main culprit behind the hideousness of 102 dalmatians is its predecessor , 101 dalmatians . the original made more than $ 100 million dollars at the box office , spawned a torrid collection of "" collectible "" items that ended up months later in the discount bins of wal - marts across the country , and generally made every kid on the planet want a damn dalmatian pup for christmas . well , it ' s been about four years since then , and dalmatian fever is coming back , and this time it ' s digitally enhanced . here ' s the story . cruella de vil ( glenn close ) is released from prison due to the "" cure "" of her puppy homicide urges by one dr . pavlov . ( oh , how witty . ) she rejoins the world as a dog lover and is assigned to a probation officer , who oddly turns out to be her victim from the original film . cruella then becomes ella -- dog lover -- until the plot twists , like a dog with his leash caught on the back of a moving truck , and she becomes the evil vixen again . a kidnapping plot unfurls again as cruella decides she still needs her dalmatian coat , but she now needs 102 dalmatians instead of the commonly used 101 dalmatian formula . at this point , i was envying those kids filing out of the theater . how low have glenn close and gerard depardieu ( as the film ' s villain ) sunk in the film business ? it ' s almost laughable in a sadistic way to watch close walk around in costumes that seem to be pulled from the wardrobe of flash gordon . and depardieu . . . how can a french guy have a bad french accent ? and never mind the toilet brush haircut . the only minutely positive selling point i can even think to point out is the talking bird with a british accent ( courtesy of eric idle ) that thinks he ' s a rottweiler . now that ' s funny .",neg
"in this year ' s summer movie preview issue of _entertainment_weekly_ , theresa connelly described her writing - directing debut , _polish_wedding_ , as "" a child that did not quite become the child i thought it would . "" one wonders what exactly she originally had in mind for this jumbled film , a comedy - drama that appears doomed at its most basic elements . the family at the center of _polish_wedding_ is the pzoniaks , which consists of mother jadzia ( lena olin ) , father bolek ( gabriel byrne ) , sole daughter hala ( claire danes ) and four sons of varying degrees of facelessness . it ' s a large family , but there ' s not a sympathetic one in the whole bunch , certainly not in the primary trio . jadzia takes pride in building and maintaining a home and family , but she ' s kind of a hypocrite since she ' s carrying on an affair with a businessman rade serbedzija ) . her excuse for her affair is neglect from bolek , who is such a passive wimp that one cannot connect with his sadness and frustration . also , how could he possibly pay so little attention to the saucy , sexy jadzia ? hala is a spoiled , self - centered high school dropout whose reckless sexual experimentation predictably leads to pregnancy . with such an unappealing set of characters , it ' s no surprise that _polish_wedding_ ' s plot complications are far from involving . naturally , jadzia and bolek would like hala to marry the young cop , russell schuster ( adam trese ) , who fathered the child , but he refuses to make such a commitment . ho - hum . another complication , involving the decidedly un - virginal hala being selected to crown a statue of the virgin mary , is first played for laughs and then , inexplicably , as a profound statement in the film ' s climax -- which , ironically , is funnier than any of the film ' s lame attempts at humor , such as a painfully labored slapstick attempt where jadzia leads her sons in a charge to beat up russell . that scene is but one in a number of writing miscues by connelly . the jadzia - bolek conflict is resolved in an overly pat way not unfamiliar to sitcom viewers . the hala - russell conflict isn ' t resolved in as contrived a manner , but their ultimate resolution will leave viewers wondering if they had missed something . and then there ' s some atrocious dialogue , which i am sure was not supposed to be as ridiculous as they sound : "" look at all these pickles . just looking at them gives me such great sadness . "" as misguided as _polish_wedding_ is , the affair is something of a letdown , considering the strong performances by byrne , danes , and especially the fiery olin . they obviously believed in connelly and her material -- a faith that audiences will be hard - pressed to share .",neg
"the premise of wag the dog is so simple that it ' s adequately explained by the commercials . with 11 days to go until the election , the president ( who we never see ) calls in political dirty - tricks artist robert deniro to distract attention from a burgeoning sex scandal . deniro enlists hollywood producer dustin hoffman to produce a "" pageant "" , a phony war against albania , fought on the blue screens of hollywood and the recording studios of nashville , with woody harrelson as the reluctant , psychotic hero . and if there wasn ' t anything more to the movie than this , it would be a second - rate heist comedy at best , enlivened by great actors -- like sneakers goes to washington . ( a heist comedy ? yup . deniro and hoffman are "" stealing "" the election , so to speak , and the movie is more about how they do it -- and the fun they have doing it -- than anything else . ) wag the dog succeeds because it ' s based one great truth : the american people are stupid . ok , maybe it ' s not "" love thy neighbor as thyself "" or even "" two plus two makes four "" , but a truth nonetheless . ( any average person who thinks that they ' re really smart about the two things this movie satirizes -- moviemaking and the political process -- is invited , nay , challenged , to spend a week either watching a movie actually being made or 48 hours straight watching c - span when the house is in session . ) and because we ' re so utterly , predictably stupid , hollywood knows that a certain percentage of us will go see hard rain or magoo , washington knows that we won ' t notice a few million dollars spent here and there on porno art grants and cigar subsidies -- and deniro ' s character knows that american geography skills are so weak that we won ' t be able to locate albania on the map . the beauty of wag the dog is that it isn ' t a light , meaningless comedy about politics ( like speechless , the michael keaton - geena davis picture ) or from the level of light - hearted politcal satire to near - greatness . nor is it a hard - edged cynical look at the manner in which a morally - deprived , ethically challenged baby - boomer connives his sleazy way into the white house ( like primary colors -- and yes , i am a little disappointed in the way the last two elections turned out , thanks for asking ) . instead , david mamet ' s script strikes that delicate balance between comedy and cynicism needed for satire . it does this by keeping us in a fantasy world where most of the schemers ' schemes come off beautifully , and fail only in entertaining and humorous fashion . deniro is playing a variation on his al capone character from the untouchables , without any of the violent rages . it ' s all : "" what do i love ? what is it that brings me joy ? baseball , "" minus the savage bloody beating with the bat . he threatens a lot of people , mind you , but he ' s doing it in a very nice , polite way . it ' s a very mellow , restrained performance , which fits in with the air of gamesmanship in the script . hoffman , on the other hand , is giddy , exuberant and joyous . this kind of thing is what his character lives for , and he ' s so excited that he can ' t even shut up . even on the edge of disaster , he ' s bright - eyed ( behind oddly tinted sunglasses ) and positive . insiders note that he ' s basing his character on some powerful - but - anonymous producer -- which may or may not be true , but hoffman still exudes the kind of lets - put - on - a - show electricity that you figure a producer needs to have . the best part and the most frustrating part of wag the dog is in the supporting cast . the characters are so well drawn and so well acted that we want to see more of them , listen to them talk in that wised - up mamet dialogue , get to know them better -- which we don ' t . anne heche , is dead - bang - on in her portrayal of a political press aide -- cool and composed on the outside , panicked and frenzied on the outside . denis leary ( one of my favorite actors -- see the ref ) is the "" fad king "" , who handles the profitable "" back - end "" -- t - shirt tie ins and shoe contracts and other creative , innovative ways to separate a fool from his money . they could make a whole movie , just about the fad king , and i ' d go see it . willie nelson and merle haggard handle the musical end of things fabulously , from the upbeat gospel chorus theme song , to the weepy country waltz , to the hilarious "" ballad of the green berets "" parody . woody harrelson has a brief , but memorable part as the overmedicated "" hero "" of the albanian conflict . craig t . nelson , as the opposition candidate , and the ever - reliable william h . macy , as a wacky cia agent , are given surprisingly short shrift . ( one of my small gripes is that we never see what the spin doctors on the other side are doing . ) wag the dog is a funny movie about serious problems : the trivialization of american politics , the role of the press in dumbing down the issues , the impact of hollywood in creating campaign commercials , the reduction of all things political to soundbites and sidebars -- the list goes on . we can solve most of these problems by taking a greater role in our national life and educating ourselves as voters and citizens . wag the dog reminds us of what can happen if we don ' t .",pos
""" first rule of fight club is , don ' t talk about fight club . "" this quote deals directly with my opinion of this film , because quite frankly , it ' s not even worth mentioning . director david fincher ( seven ) has completely gone over the edge . with crude humor , an intolerable script and 2 hours and 19 minutes of pure torture , i ' m surprised i didn ' t walk out . this just goes to show that hype kills . it ' s very rare that a film so hyped up as "" fight club "" turns out to be noteworthy , and this is no exception . the story goes like this . edward norton is an insomniac trying to enlighten his dull life by going to a variety of disease therapy sessions , until he meets marla ( helena bonham carter ) . norton claims that she is wrecking his pleasurable lifestyle , when he spots her at a session that he also attended . apparently the disease sessions help them see what life is like , literally living in pain . why any person would think of such a thing is beyond me , but things do get worse . norton is soon assigned to a job that calls for traveling , and it ' s on a plane that he meets tyler durden ( brad pitt ) . the two men develop a bond , and go out to a bar , and by golly after they get drunk , the two pitiful characters fight . how do they come up with this stuff ? anyway , their fighting catches other pathetic loser ' s attention , and a club is formed . out of all this mess , there manages to lie a message . fincher shows us that society is like robots . we work in our jobs doing things step by step , and want out . our insanity gets to our brain and makes things worse than they really are , and we blame it on others . call me crazy , but this is common knowledge . i think fincher was acting as if the film is moodier and more poignant than it really is , which is probably one of the reasons it fails miserably . even with two good actors , and a solid actress , they only manage to weaken the story . i couldn ' t help but hide my face in shame when norton beats himself up into a bloody pulp . it just shows how desperate the script is for attention . i guess brad pitt was right for this role , because i felt like beating him up myself . his bothersome and depressing character , made me disgusted at his 20 million fee . it only showed me that he was in it for the money and nothing more . helena bonham carter however really had no purpose . she just popped up on screen , mumbled some lines , smoked and left . this continues for what seems like 6 hours . the film drags on and my headache gets bigger , while "" fight club "" nears what i think might be the end . unfortunately by then , the film hits rock bottom . though the conclusion kept my interest for a mere 5 minutes , it backs down again and continues to move at a snails pace . on a side note , the trailer shows the only redeeming elements of the film , that coincidentally lasts the same amount of time that they did on the trailer . fincher will hopefully regret making this film or at least learn a lesson . concentrating on the atmosphere or a particular key moment , won ' t do any good if everything else is in need of support . also , i ' m afraid that immature men might respond to the film ' s violence . the last thing the world needs is people praising a leader of a pointless cult . when the film ends , i ' m just glad to get home and take some advil . you ' ll either enjoy what the film has to offer , or agree with ed norton when he says "" this is so f * * * ing stupid . """,neg
""" jack frost , "" is one of those dumb , corny concoctions that attempts to be a heartwarming family film , but is too muddled in its own cliches and predictability to be the least bit touching . this does not come as a surprise , since the studio that made it is warner brothers , who is on a current streak of one bad film after the other . jack frost ( michael keaton ) is a struggling middle - aged rock musician who loves his wife , gabby ( kelly preston ) , and 11 - year - old son , charlie ( joseph cross ) , but doesn ' t spend nearly enough time with them . when he receives a call from a music label that wants to hear him play , he has to cancel his planned family outing up in the mountains for christmas . halfway there , jack has second thoughts , but on his way back home , is in a car accident and dies . switch forward a year , christmas is approaching once again , and charlie and gabby are still having a difficult time coming to terms with jack ' s death . when charlie begins to play the harmonica his father gave him the night before he died , the snowman outside the house is taken over by jack ' s spirit . jack wants to spend some time with his son before the upcoming warm front melts him , but charlie desperately tries to prevent his melting demise . "" frosty the snowman , "" is a classic cartoon , and the idea of a snowman that is alive works splendidly when animated , but as a live - action film , it doesn ' t work at all . after a somewhat promising prologue in which the frost family is established , "" jack frost , "" quickly goes downhill , especially once the snowman comes into play . since jack has been deceased for a whole year , you would think there would be many questions to ask him , such as , "" what happens after you die ? "" or , "" how does it feel to be a snowman ? "" but instead , the film focuses on a snowball fight subplot and an inevitably oversentimental climax that could be telegraphed before i even sat down to watch the movie . the performances are respectable enough , but no one deserves to be punished by appearing in a silly film like this . michael keaton at least got off easy , since he disappears after the first twenty minutes , but what exactly does he think he is doing with his career here ? i have always liked kelly preston . she is clearly a talented , charismatic actress , but has never been given a good role in her life , usually having to settle for a one - dimensional supporting character , as in , 1997 ' s , "" nothing to lose , "" and , "" addicted to love . "" joseph cross was probably the highlight in the cast , since he believably portrayed a boy suffering the loss of a parent . in one of the only subplots that actually works , due to its wittiness , henry rollins is highly amusing as a hockey coach who becomes terrified and paranoid after seeing the live snowman . this brief hint of cleverness is pushed to the side , however , by the tried - and - true main plot at hand , which is the sappy story of a father and son . since i knew what was going to happen by the time the conclusion came around , i had no choice but to sit there and listen to painfully insipid , cringe - inducing lines of dialogue . some of my favorites was an interaction between the son and father : "" you da man , "" says charlie . "" no , i da snowman , "" replies jack . or how about this little zinger , coming from a school bully that miraculously becomes friendly towards charlie and tries to help him out : "" snowdad is better than no dad . "" do people really get paid in hollywood for writing pieces of trash like this ? the snowman , created by john henson ' s creature shop , is more believable than the snowman from last year ' s unintentionally hilarious direct - to - video horror flick , also called , "" jack frost , "" but it still was difficult to tell if it was a person in a suit or computer effects . either way , it was an awful lot of work to go through , just to come up with a final product as featherbrained as this project . as a seasonal holiday picture , "" jack frost , "" is pretty much a clunker . a better christmas film from this year is , "" i ' ll be home for christmas . "" better yet , my suggestion would be to stay home and watch a quality film , such as , "" it ' s a wonderful life , "" "" a christmas story , "" or , "" prancer . "" "" jack frost , "" is an earnest , but severely misguided film , and children , as well as adults , deserve better . i doubt they would want to see a movie about the death of a parent , anyway .",neg
"a number of critics have decided that it ' s open season on freddie prize jr . , slamming the young actor as an utterly talentless pretty boy on career cruise control in sound - alike , disposable teen fluff like "" head over heels , "" "" boys and girls , "" "" down to you "" and "" she ' s all that . "" while the prinze oeuvre is hard to defend , his talent is not . i first saw him in the independent dark comedy "" the house of yes , "" where he gave a subtle , impressive performance as the younger brother in one of america ' s freakiest families . prinze has the acting chops ; he just needs to take a few supporting roles in some grown - up movies to show the non - believers that he has what it takes . "" summer catch "" certainly won ' t help his case . inoffensive , but utterly generic , the baseball - related romantic comedy does little more than kill time . the story deals with the love affair between tenley ( jessica biel ) , a wealthy cape cod girl and ryan ( prinze ) , a local boy from a working class family who dreams of becoming a big - time baseball star . ryan ' s preoccupation with his new honey - bunny drives her elitist father ( bruce davison ) crazy and endangers his position as pitcher with a cape cod summer league team . it ' s a wonder the kid has any time to pitch , as his time is occupied with making out with tenley , fighting with her dad , bonding with his own dad ( fred ward , who deserves better than this ) , fighting with his brother ( jason gedrick ) and carousing at a neighborhood bar with his teammates . the filmmakers desperately want to make a quirky , character - heavy baseball movie like "" bull durham , "" but haven ' t got a clue how to get there . and so they glide from one clich ? to the next for 108 minutes . the only bit of originality comes from marc blucas in a minor role as a center - fielder from texas . in an early barroom scene , blucas , best known as demon - fighting riley finn from "" buffy the vampire slayer , "" hears a young woman compliment a guy on his ass , then turns to teammate matthew lillard and states , "" he does have a nice ass . a bubble butt . "" when lillard gives him an "" are you insane ? "" look , blucas calmly says , "" it ' s nothing sexual , "" then goes on to evaluate the hind - ends of some other players , including lillard ' s . speaking of asses , prinze does not bare his in the movie . the actor has a no nudity clause in his contract , so two stunt - butts were employed for a couple of semi - nude shots . blucas , whose character secretly dates a large woman throughout the story , gets another unique moment late in the film . sick of hearing teammates make "" fat chick "" jokes , he climbs on top of a table and loudly declares his love of amply - sized ladies . while his speech still ends up objectifying women , it remains a nice change of pace in a numbingly ordinary movie . trivial tidbit : "" summer catch "" marks a scooby doo summit . marc blucas appears in "" jay and silent bob strike back "" as fred from the scooby doo gang , while freddie prinze jr . plays the same character in the upcoming big budget film version of the old cartoon .",neg
"plot : a dude and his brother are driving cross - country and decide to fool around with a trucker on their cb radio . it isn ' t long before their little prank gets someone put into a coma ( long story ) and the next thing you know , the trucker is following them too . lotsa nuttiness ensues and then , they pick up their other friend , venna , a girl who the dude has a crush on . but what ' s this . . . ? the trucker is still on their tail and is now harassing all three of the young whippersnappers . . . ? you bet ! buckle up , dorothy . . . this is gonna be one bumpy ride ! critique : a good ol ' time at the movies ! here ' s a film that actually gives away most of its plotline in its trailer and doesn ' t really bring anything "" new "" to the forefront ( if you ' ve seen flicks like duel and breakdown , you ' ve crossed this path before ) , but still manages to entertain you gangbusters , with realistic situations , believable characters , funny moments , thrills , chills , the whole shebang . let ' s give it up for director john dahl , who continues to put out solid films every other year ( if you haven ' t seen red rock west , do yourself a favor right now , and jot it down on a piece of paper and rent it at your earliest convenience ) . and much like that film , this one has an excellent premise and sets everything up at an even pace . it gives you a little bit of background on each of the main three characters , and then shows you how one small prank , can lead to a whole lotta trouble for everyone ! paul walker really surprised me in this movie , since i ' ve never much thought of him as anything more than a pretty face ( and damn , is it ever pretty or what ? ! ) but here , he actually manages to put some depth behind the looks and that ' s always appreciated in films in which you are so closely tied to the main characters . sobieski is also good , but she isn ' t in the movie for as long as you ' d think , but the man who really takes this film to another level , is steve zahn . if you ' ve loved this guy as the "" goofball "" in most of his previous roles , you ' ll appreciate him even more here , as the dude who starts off as one of the most manic and excited human beings i ' ve seen in quite some time ( "" this is so awesome ! ! "" ) , only to turn into a man scared out of his wits by the end of the flick . and speaking of the ending , boy , does this movie deliver some chilling moments during its final 15 clicks or what ? ! ? the arrow and i were practically in each others arms ( well , maybe i ' m exaggerating , but you catch my drift ) as each minute brought about another turn of events which in turn , took it all to an even higher level . once again , kudos to director dahl for being able to generate that type of intensity , suspense and tension , with a great score , editing , style and camerawork . plot - wise , i too did wonder how the "" bad guy "" was able to track them so well , but it didn ' t really bother me all that much ( you can assume that he had bugged their car ? ) . but pretty much everything else in the story stuck like glue and i couldn ' t help but put myself in their shoes and appreciate their thoroughly desperate circumstance . a great movie with an even cooler ending , this film will likely be remembered as one of the better thrillers of the year . "" this is amazing ! ! ! "" where ' s joblo coming from ? american psycho ( 10 / 10 ) - deep blue sea ( 8 / 10 ) - eye of the beholder ( 4 / 10 ) - the fast and the furious ( 7 / 10 ) - final destination ( 8 / 10 ) - the glass house ( 6 / 10 ) - no way out ( 8 / 10 )",pos
"note : some may consider portions of the following text to be spoilers . be forewarned . east meets west in mulan , the latest installment in disney ' s parade of annual animated feature films . an odd fusion of ancient asian traditions and disconcerting elements which betray obvious mass - market commercial sensibilities , this confident entry is easily the most engaging and satisfying hollywood animated feature in years , but falls short of actualizing its potential . though not for lack of trying . in many respects , mulan is among disney ' s most mature efforts , skirting the surface of adult themes and daring to sneak glimpses into the messier side of combat . the violence of the battles in the film are admittedly sanitized -- the imagery of a pillaged village , neatly encapsulated in the form of a child ' s discarded doll , is in itself no more harrowing than luke discovering his fallen guardians in star wars , and mulan ' s later heroics in dispatching of the ruthless invaders is done so in the most tidy , bloodless method imaginable -- yet how often does a hollywood animated film , long considered as the last safe refuge for the innocent , dare touch upon the consequential horrors of war in such a provocative manner ? in an instant , idealistic mulan ' s innocence is lost , and her jovial squadron are reminded of what their efforts are spent defending . the film , based upon an ancient chinese fable , centers on a spirited young woman who disguises herself as a man in order to serve as her family ' s obligatory conscript when china finds itself under attack by huns ( cartoonishly depicted by easy demonic overtones , replete with glowing yellow eyes and dagger - edged teeth , although lent a surprisingly genuine sense of menace ) . dipping into the mythology of other cultures for the first time after cavorting in animated revisitings of familiar western / european fables and literature for decades , disney ' s new film is boldly set in ancient china rather than relocated elsewhere , story intact , to some neutral territory , and revels in its east asian roots ; aside from a predominantly asian - american cast providing the film ' s vocal work , there ' s liberal usage of oriental iconography throughout , and the artwork reveal hints of japanese anime influence . while the film does occasionally reach its limits and starts to tread upon old stereotypes -- invoking pseudo - asian references to items like beancurd and rice in every third sentence grows rather hoary , and i can ' t imagine that the regiment for ancient chinese warriors * really * included karate - chopping blocks of stone in two -- it ' s rather remarkable that a movie primarily positioned for american and european audiences delves so wholeheartedly into new foreign territory . the film also freely touches upon cultural idiosyncrasies from its outset ; although savvy viewers should easily pick up on the intrinsics immediately , it ' s startlingly assertive in providing as little shorthand as it does to unfamiliar youngsters with regards to the customs and traditions of mulan ' s land . at its core , the film is a tale of heroic adventure , and as such paints its story in bold strokes of honour , perseverance , nobility and courage . as such , animation is the perfect vehicle for this flavour of epic , where stark emotional simplicity is able to effectively work hand - in - hand with visual purity . scenes which would play out as unbearably hokey in live action , such as mulan ' s venerable father pridefully tossing aside his cane when accepting his draft notice , are lent a sense of strength and conveyed with greater emotional clarity in animation . mulan capitalizes on this during its strongest moments , particularly during our heroine ' s character - defining opening half - hour . it ' s when the film attempts to integrate the traditional mainstays of recent hollywood animation -- the friendly animal sidekick , the colourful array of supporting characters -- into the mix where it goes slightly awry . off to battle , mulan finds herself being trailed by a jive - talking diminutive dragon called mushu and an agreeable little "" lucky "" cricket , who ostensibly appear to assist in her subterfuge and realistically serve as audience - friendly comic relief . they ' re affable presences , and not precisely ineffective -- reasonable amounts of humour are elicited , and eddie murphy ( who voices mushu ) is amusingly earnest -- but amidst all the high melodrama , the effect is mildly jarring and , from a storytelling perspective , questionable in its necessity . at training camp , mulan antagonizes and eventually wins over a trio of fumbling recruits ( easily characterized simply as the short clown , the skinny clown , and the big clown ) , who provide more levity into the film with decidedly less effectiveness , and , in a familiar retread of traditional disney patterns , she grows a certain fondness for a handsome , square - jawed young captain , shang . everybody needs love , even ancient chinese warrior princesses , but not necessarily in * this * film . the romantic angle , which lets the air out of the sails of the story ' s neo - feminist underpinnings , lacks any genuine spark and plays out like a contractual obligation . another staple of recent disney animated films , a cache of hummable little ditties , has also obligingly been carried over to mulan but proves to be a decided weakness . composed by matthew wilder , none of the handful of tunes are particularly distinguishing , and one -- "" i ' ll make a man out of you "" ( unimaginatively accompanying a tired montage featuring our crew of characters transforming into lean fighting machines ) -- becomes so grating and hackneyed that it seems almost interminable . only "" reflections "" , an early ballad of lament , proves to be a song of any consequence , serving as an effective showcase for lea salonga , one of musical theatre ' s most wondrously pure voices . nonetheless , mulan is an especially appealing piece of work from the disney factory , with a strong narrative arc and pleasant artwork ; the computer - generated stampede of hun warriors charging down a snow mountain is wholly impressive . while the blatantly child - friendly elements at times seem incongruous with the remainder of the film , they ' re not dissuasive and remain fairly enjoyable . briskly paced with a smart , energetic heroine and filled with high adventure , the film is ultimately most satisfying on the intimate scale of father and daughter .",pos
"synopsis : a small town thug convinces a dimwitted high - school student to spy on his girlfriend , who is babysitting three unruly kids for their alcoholic parents on a friday night . while this is going on , the thug , the father , the boyfriend , and a kid reaching the onset of puberty all have fantasies about the babysitter . comments : to say this movie is bad would be quite an understatement . i ' m not sure what writer and director ferland was hoping to accomplish with the babysitter . suspense ? family drama ? humor ? erotica ? elements of each of these genres exist in the film , yet it fails to successfully achieve any of them . instead , the babysitter is a dull , lifeless movie which manages to bore and ultimately irritate its viewers . i suppose this film could have been watchable if it weren ' t for the fact that the characters are universally unappealing . alicia silverstone is completely wasted playing jennifer , the babysitter . her character has absolutely no depth at all , and her sole purpose in the movie is to be the object of the other characters ' fantasies . everyone else in the film seems to be in a competition to see who can stoop to the lowest level by the time the film ends . the parents are alcoholics who become increasingly obnoxious as the movie proceeds . the father ( played by j . t . walsh ) fantasizes about the babysitter ; the mother fantasizes about her husband ' s best friend . none of these fantasy sequences , trust me , are things that need to be seen , but we see them anyway , complete with cheesy , make - out saxophone music . the thug , in the meantime , proves that he ' s evil through his annoying habit of smashing half - empty beer bottles all of a sudden and for no apparent reason . the most absurd character , however , is the babysitter ' s boyfriend who seems catatonically brain - dead . the thug , in a manipulative , iago - like manner ( though he doesn ' t really need to try hard ) , manages to talk the boyfriend into binge - drinking , smoking grass , running away from cops , and playing peeping tom on his own girlfriend in a matter of minutes . incredible ! ( of course , the boyfriend ' s original plan for the evening was , try not to laugh , to sit in an empty diner and read catcher in the rye by j . d . salinger . ) if the goal of the babysitter was to be suspenseful , then it fails . there are surprisingly few tense moments in this film , and nearly all of them come at the final minute . by that time , however , the audience is so tired of the inane characters that no one truthfully cares what happens to any of them . no suspense occurs in the dream sequences either because every single one of them is obviously a dream sequence from its inception . if the goal of the babysitter was to be humorous , then it also fails . i found nothing even remotely funny about the boozing parents who seemed , at times , to be played for laughs . if the goal of the babysitter was to be dramatic , then , once again , it fails . the characters are one - dimensional and uninteresting . finally , if the goal of the babysitter was to be titillating ( the type of film destined to be played ad infinitum on hbo at 2 in the morning ) , then it fails as well . the dream sequences aren ' t erotic ; they are too brief and , outside of one very short scene , contain no nudity . i can ' t completely trash this movie . the first 10 minutes or so vaguely resemble an interesting film , and the conclusion sports a halfway decent fistfight . the other 79 minutes , though , are a drag . silverstone ' s character , at the end of the movie , turns to her boyfriend and asks "" what were you thinking ? "" i asked myself the same question , having spent 99 cents renting this turkey .",neg
